0.2384 72.5016
0.2324 72.5080
0.2324 73.5037
0.2424 73.4632
0.2424 78.0689
0.2264 78.0856
0.2264 92.1781
0.2120 92.2080
0.2120 99.4653
0.2113 99.4796
0.2113 100.4958
0.2117 100.4432
0.2117 94.4187
0.2113 94.3987
0.2113 98.0377
0.2205 98.0043
0.2205 64.6734
0.2312 64.7194
0.2312 60.1651
0.2309 59.9823
0.2309 66.7950
0.2365 66.9934
0.2365 54.6239
0.2271 54.6151
0.2271 93.5553
0.1868 93.8838
0.1868 113.9360
0.1781 113.9667
0.1781 125.4386
0.1818 125.4408
0.1818 121.8572
0.1822 121.8842
0.1822 121.2454
0.1797 121.3294
0.1797 121.0680
0.2197 120.7253
0.2197 35.2153
